用例名称,优先级,前置条件,步骤描述,预期结果
流转状态-执行步骤弹窗：日期,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义日期A：2023-04-19   自定义日期B：未设置
    任务B  未开始   自定义日期A：未设置    自定义日期B：2023-05-13
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义日期A，无默认值，必填
     自定义日期B，存在属性默认值：2023-05-11，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#在自定义日期A框中输入：2023-05-19
点击确定","#自定义日期A（必填）：2023-04-19
自定义日期B（非必填）：2023-05-11
#流转状态成功
自定义日期A：2023-04-19
自定义日期B：2023-05-11
#自定义日期A（必填）：未设置
自定义日期B（非必填）：2023-05-11
#toast：以下有 1 项内容为必填
自定义日期A下红字文案：此项内容为必填
#流转状态成功
自定义日期A：2023-05-19
自定义日期B：2023-05-11"
流转状态-执行步骤弹窗：浮点数,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义浮点数A：2.9   自定义浮点数B：未设置
    任务B  未开始   自定义浮点数A：未设置    自定义浮点数B：3.7
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义浮点数A，无默认值，必填
     自定义浮点数B，存在属性默认值：8.8，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#在自定义浮点数A框中输入：123.7
点击确定","#自定义浮点数A（必填）：2.9
自定义浮点数B（非必填）：8.8
#流转状态成功
自定义浮点数A：2.9
自定义浮点数B：8.8
#自定义浮点数A（必填）：未设置
自定义浮点数B（非必填）：8.8
#toast：以下有 1 项内容为必填
自定义浮点数A下红字文案：此项内容为必填
#流转状态成功
自定义浮点数A：123.7
自定义浮点数B：8.8"
流转状态-执行步骤弹窗：整数,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义整数A：2   自定义整数B：未设置
    任务B  未开始   自定义整数A：未设置    自定义整数B：3
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义整数A，无默认值，必填
     自定义整数B，存在属性默认值：8，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#在自定义整数A框中输入：123
点击确定","#自定义整数A（必填）：2
自定义整数B（非必填）：8
#流转状态成功
自定义整数A：2
自定义整数B：8
#自定义整数A（必填）：未设置
自定义整数B（非必填）：8
#toast：以下有 1 项内容为必填
自定义整数A下红字文案：此项内容为必填
#流转状态成功
自定义整数A：123
自定义整数B：8"
流转状态-执行步骤弹窗：单选迭代,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义单选迭代A：迭代1   自定义单选迭代B：未设置
    任务B  未开始   自定义单选迭代A：未设置    自定义单选迭代B：迭代2
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义单选迭代A，无默认值，必填
     自定义单选迭代B，存在属性默认值：迭代3，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#选择自定义单选迭代A的值为：迭代2，点击确定","#自定义单选迭代A（必填）：迭代1
自定义单选迭代B（非必填）：迭代3
#流转状态成功
自定义单选迭代A：迭代1
自定义单选迭代B：迭代3
#自定义单选迭代A（必填）：未设置
自定义单选迭代B（非必填）：迭代3
#toast：以下有 1 项内容为必填
自定义单选迭代A下红字文案：此项内容为必填
#流转状态成功
自定义单选迭代A：迭代2
自定义单选迭代B：迭代3"
流转状态-执行步骤弹窗：多选项目,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义多选项目A：项目1、项目2   自定义多选项目B：未设置
    任务B  未开始   自定义多选项目A：未设置    自定义多选项目B：项目B、项目C
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义多选项目A，无默认值，必填
     自定义多选项目B，存在属性默认值：项目A，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#选择自定义多选项目A的值为：项目2，点击确定","#自定义多选项目A（必填）：选项1、选项2
自定义多选项目B（非必填）：选项A
#流转状态成功
自定义多选项目A：项目1、项目2
自定义多选项目B：项目A
#自定义多选项目A（必填）：未设置
自定义多选项目B（非必填）：项目A
#toast：以下有 1 项内容为必填
自定义多选项目A下红字文案：此项内容为必填
#流转状态成功
自定义多选项目A：项目2
自定义多选项目B：项目A"
流转状态-执行步骤弹窗：多选菜单,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义多选菜单A：选项1、选项2   自定义多选菜单B：未设置
    任务B  未开始   自定义多选菜单A：未设置    自定义多选菜单B：选项B、选项C
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义多选菜单A，无默认值，必填
     自定义多选菜单B，存在属性默认值：选项A，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#选择自定义多选菜单A的值为：选项2，点击确定","#自定义多选菜单A（必填）：选项1、选项2
自定义多选菜单B（非必填）：选项A
#流转状态成功
自定义多选菜单A：选项1、选项2
自定义多选菜单B：选项A
#自定义多选菜单A（必填）：未设置
自定义多选菜单B（非必填）：选项A
#toast：以下有 1 项内容为必填
自定义多选菜单A下红字文案：此项内容为必填
#流转状态成功
自定义多选菜单A：选项2
自定义多选菜单B：选项A"
流转状态-执行步骤弹窗：单选菜单,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义单选菜单A：选项1   自定义单选菜单B：未设置
    任务B  未开始   自定义单选菜单A：未设置    自定义单选菜单B：选项B
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义单选菜单A，无默认值，必填
     自定义单选菜单B，存在属性默认值：选项A，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#选择自定义单选菜单A的值为：选项2，点击确定","#自定义单选菜单A（必填）：选项1
自定义单选菜单B（非必填）：选项A
#流转状态成功
自定义单选菜单A：选项1
自定义单选菜单B：选项A
#自定义单选菜单A（必填）：未设置
自定义单选菜单B（非必填）：选项A
#toast：以下有 1 项内容为必填
自定义单选菜单A下红字文案：此项内容为必填
#流转状态成功
自定义单选菜单A：选项2
自定义单选菜单B：选项A"
流转状态-执行步骤弹窗：多行文本,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义多行文本A：哈哈哈   自定义多行文本B：未设置
    任务B  未开始   自定义多行文本A：未设置    自定义多行文本B：测试测试
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义多行文本A，无默认值，必填
     自定义多行文本B，存在属性默认值：test，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#在自定义行文本A框中输入：123
点击确定","#自定义多行文本A（必填）：哈哈哈
自定义多行文本B（非必填）：test
#流转状态成功
自定义多行文本A：哈哈哈
自定义多行文本B：test
#自定义多行文本A（必填）：未设置
自定义多行文本B（非必填）：test
#toast：以下有 1 项内容为必填
自定义多行文本A下红字文案：此项内容为必填
#流转状态成功
自定义多行文本A：123
自定义多行文本B：test"
流转状态-执行步骤弹窗：单行文本,P1,"1、成员A有项目A- 任务的「更新任务状态」权限
2、项目A-任务下存在：
    任务A  未开始   自定义单行文本A：哈哈哈   自定义单行文本B：未设置
    任务B  未开始   自定义单行文本A：未设置    自定义单行文本B：测试测试
3、任务存在状态按顺序为：未开始-->进行中-->已完成
4、未开始存在步骤：
         开始任务：未开始 --> 进行中
         完成任务：未开始 --> 已完成
5、步骤「开始任务」，存在步骤属性：
     自定义单行文本A，无默认值，必填
     自定义单行文本B，存在属性默认值：test，非必填 
6、成员A已进入项目A-任务组件","#1、流转任务A状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#1、流转任务B状态到「开始任务」
2、查看执行步骤：开始任务 弹窗
#点击确定
#在自定义单行文本A框中输入：123
点击确定","#自定义单行文本A（必填）：哈哈哈
自定义单行文本B（非必填）：test
#流转状态成功
自定义单行文本A：哈哈哈
自定义单行文本B：test
#自定义单行文本A（必填）：未设置
自定义单行文本B（非必填）：test
#toast：以下有 1 项内容为必填
自定义单行文本A下红字文案：此项内容为必填
#流转状态成功
自定义单行文本A：123
自定义单行文本B：test"
任务详情-属性-属性值被删除：选择的属性值被异步删除（多选菜单-原值被删除）,P2,"1、成员A有项目A中任务的多选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1，属性1已选值：1
2、属性1存在可选值：1、2、3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「1」已被异步删除）",#成员A选择「2」后失焦,"#正常提交
属性1已选值：2"
任务详情-属性：后置动作更改状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、存在后置动作规则将任务A状态变更为「已完成」
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#1、点击周期与进度tab
2、查看任务A的进度",#100%
任务详情-属性：流程自动化更改状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、存在流程自动化规则将任务A状态变更为「已完成」
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：批量流转工作项状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、批量流转工作项状态：已将任务A状态流转为已完成
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：批量转为工作项时修改工作项状态后查看进度变化,P2,"1、项目A存在子任务A，未开始，进度未设置
2、批量转为工作项：已将子任务A转为工作项的同时变更其状态为「已完成」
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：批量转为子工作项时修改工作项状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、批量转为子工作项：已将任务A转为子工作项的同时变更其状态为「已完成」
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：批量变更工作项类型时修改工作项状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、批量变更任务A的类型为需求，变更的同时修改状态为已完成
3、成员A有项目A-所有工作项查看权限
4、成员A进入项目A-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：批量移动时修改工作项状态后查看进度变化,P2,"1、项目A存在任务A，未开始，进度未设置
2、批量移动任务A到项目B时修改状态为已完成
3、成员A有项目B下任务A的查看权限
4、成员A进入项目B-任务A的详情页","#点击周期与进度tab
#查看任务A的进度","#toast：100%
#"
任务详情-属性：变更状态（没有进度的编辑权限）,P2,"1、成员A有项目A中任务的流转状态和任务的编辑权限，项目A中存在任务：任务1，未开始，进度50%
2、成员A没有「进度」的编辑权限
3、任务1不存在子工作项
4、任务工作流：未开始-进行中-已完成
5、成员A进入任务1详情页",#更改任务1的状态为「已完成」,#toast：你没有工作项属性的修改权限，请联系管理员。
任务详情-属性：变更状态后查看进度变化（没有子工作项）,P2,"1、成员A有项目A中任务的流转状态和任务的编辑权限，项目A中存在任务：任务1，未开始，进度50%
2、任务1不存在子工作项
3、任务工作流：未开始-进行中-已完成
4、成员A进入任务1详情页","#1.更改任务1的状态为「已完成」
2.查看任务1的进度",#进度100%
任务详情-属性：变更状态后查看进度变化（有子工作项）,P2,"1、成员A有项目A中任务的流转状态和任务的编辑权限，项目A中存在任务：任务1，未开始，进度50%
2、任务1存在子工作项1、子工作项2（子工作项1已完成、子工作项2未开始）
3、任务工作流：未开始-进行中-已完成
4、成员A进入任务1详情页","#1.更改任务1的状态为「已完成」
#2.查看任务1的进度","#进度50%（进度不变）
#"
任务详情-属性：已选成员中存在被禁用的成员（多选成员）,P2,"1、成员A有项目A中任务的属性：「多选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A，多选成员已选：成员
2、存在正常状态的成员：成员A、成员C。（成员B已被禁用）
3、成员A进入任务1详情页点开多选成员下拉菜单",#成员A选择「成员C」后失焦,#正常提交，多选成员：成员B、成员C
任务详情-属性：已选成员中存在被删除的成员（多选成员）,P2,"1、成员A有项目A中任务的属性：「多选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A，多选成员已选：成员
2、存在正常状态的成员：成员A、成员C，（成员B已被删除）
3、成员A进入任务1详情页点开多选成员下拉菜单",#成员A选择「成员C」后失焦,#正常提交，多选成员：成员B、成员C
任务详情-属性：选择的成员被禁用（多选成员）,P2,"1、成员A有项目A中任务的属性：「多选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、存在正常状态的成员：成员A、成员B、成员C
3、成员A进入任务1详情页点开多选成员下拉菜单（此时成员B被禁用）",#成员A选择「成员B」后失焦,#toast：成员不存在。
任务详情-属性：选择的成员被删除（多选成员）,P2,"1、成员A有项目A中任务的属性：「多选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、存在正常状态的成员：成员A、成员B、成员C
3、成员A进入任务1详情页点开多选成员下拉菜单（此时成员B被删除）",#成员A选择「成员B」后失焦,#toast：成员不存在。
任务详情-属性：选择的成员被禁用（单选成员）,P2,"1、成员A有项目A中任务的属性：「单选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、存在正常状态的成员：成员A、成员B、成员C
3、成员A进入任务1详情页点开单选成员下拉菜单（此时成员B被禁用）",#成员A选择「成员B」后失焦,#toast：成员不存在。
任务详情-属性：选择的成员被删除（单选成员）,P2,"1、成员A有项目A中任务的属性：「单选成员」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、存在正常状态的成员：成员A、成员B、成员C
3、成员A进入任务1详情页点开单选成员下拉菜单（此时成员B被删除）",#成员A选择「成员B」后失焦,#toast：成员不存在。
任务详情-属性：选择的发布工作项被删除（关联发布）,P2,"1、成员A有项目A中任务的属性：「关联发布」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、项目A中存在发布工作项：发布1、发布2
3、成员A进入任务1详情页点开关联发布下拉菜单（此时发布1被异步删除）",#成员A选择「发布1」后失焦,#toast：工作项不存在。
任务详情-属性：修改负责人时成员成为负责人的权限丢失,P2,"1、成员A有项目A中任务属性「负责人」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、成员A、成员B有成为任务负责人的权限
3、成员A进入任务1详情页点开修改负责人下拉菜单（此时成员B成为任务负责人的权限丢失）",#成员A选择「成员B」后失焦,#toast：你没有成为负责人的权限，请联系管理员。
任务详情-属性：修改负责人（没有管理关注者的权限）,P2,"1、成员A有项目A中任务属性「负责人」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、成员A有「没有管理关注者的权限」
3、成员A进入任务1详情页",#成员A修改任务1的负责人为「成员B」,"#正常修改成功
动态：
成员A：编辑了工作项属性
负责人 成员A > 成员B

关注者存在：成员A、成员B
成员A无法编辑关注者"
任务详情-属性：修改负责人（有管理关注者的权限）,P2,"1、成员A有项目A中任务属性「负责人」和任务的编辑权限，项目A中存在任务：任务1，负责人：成员A
2、成员A有「管理关注者的权限」
3、成员A进入任务1详情页",#成员A修改任务1的负责人为「成员B」,"#正常修改成功
动态：
成员A：编辑了工作项属性
负责人 成员A > 成员B

关注者存在：成员A、成员B"
任务详情-属性：标题超出1024,P2,"1、成员A有项目A中任务属性「标题」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页",#成员A输入超出1024字符后失焦,#toast：工作项的标题不合法，字段过长，请重新提交。
任务详情-属性：编辑属性提交时项目被归档（项目管理员）,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A是项目A的管理员
3、成员A进入任务1详情页点开属性1的输入框（此时项目A被归档）",#成员A输入内容后失焦,#可以正常修改
任务详情-属性：编辑属性提交时项目被归档（非项目管理员）,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A不是项目A的管理员
3、成员A进入任务1详情页点开属性1的输入框（此时项目A被归档）",#成员A输入内容后失焦,#toast：项目已被归档，故修改失败。
任务详情-属性：编辑属性提交时项目被删除,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时项目A被删除）",#成员A输入内容后失焦,#toast：工作项不存在。
任务详情-属性：编辑属性提交时项目的查看权限丢失,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时成员A项目A的查看权限丢失）",#成员A输入内容后失焦,#toast：暂无项目查看权限
任务详情-属性：编辑属性提交时工作项的查看权限丢失,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时成员A任务的查看权限丢失）",#成员A输入内容后失焦,#toast：您没有权限访问该工作项，请联系管理员。（编辑失败）
任务详情-属性：编辑属性提交时工作项的编辑权限丢失,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时成员A任务的编辑权限丢失）",#成员A输入内容后失焦,#toast：你没有编辑工作项的权限，请联系管理员。
任务详情-属性：编辑属性提交时工作项被删除,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时任务1被删除）",#成员A输入内容后失焦,#toast：工作项不存在。
任务详情-属性-属性被删除（从配置中心被删除）,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时「属性1」被从任务的视图配置中删除后再从配置中心-工作项属性中被删除）",#成员A输入内容后失焦,"#toast：提交成功
刷新页面后详情表单中没有属性1"
任务详情-属性-属性被删除（从视图中被删除）,P2,"1、成员A有项目A中任务的属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、成员A进入任务1详情页点开属性1的输入框（此时「属性1」被从任务的视图配置中删除）",#成员A输入内容后失焦,"#toast：提交成功
刷新页面后详情表单中没有属性1"
任务详情-属性-属性值被删除：选择的属性值被异步删除（单选成员）,P2,"1、成员A有项目A中任务的单选成员类型属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：成员1、成员2、成员3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「成员1」已被异步删除）",#成员A选择「成员1」后失焦,#toast：成员不存在。编辑失败
任务详情-属性-属性值被删除：选择的属性值被异步删除（多选项目-全部删除）,P2,"1、成员A有项目A中任务的多选项目类型属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：项目1、项目2、项目3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「项目1、项目2」已被异步删除）",#成员A选择「项目1、项目2」后失焦,#toast：工作项的属性1不合法，默认值不存在，请重新提交。
任务详情-属性-属性值被删除：选择的属性值被异步删除（多选项目-部分删除）,P2,"1、成员A有项目A中任务的多选项目类型属性：「属性1」和任务的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：项目1、项目2、项目3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「项目1」已被异步删除）",#成员A选择「项目1、项目2」后失焦,#toast：工作项的属性1不合法，默认值不存在，请重新提交。
任务详情-属性-属性值被删除：选择的属性值被异步删除（多选菜单-全部删除）,P2,"1、成员A有项目A中任务的多选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「1、2」已被异步删除）",#成员A选择「1、2」后失焦,#toast：工作项的属性1不合法，默认值不存在，请重新提交。
任务详情-属性-属性值被删除：选择的属性值被异步删除（多选菜单-部分删除）,P2,"1、成员A有项目A中任务的多选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「1」已被异步删除）",#成员A选择「1、2」后失焦,#toast：工作项的属性1不合法，默认值不存在，请重新提交。
任务详情-属性-属性值被删除：选择的属性值被异步删除（单选迭代）,P2,"1、成员A有项目A中任务的单选迭代属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「1」已被异步删除）",#成员A选择「1」后失焦,#toast：迭代不存在。
任务详情-属性：编辑的属性值查看权限丢失（多选项目）,P2,"1、成员A有项目A中任务的多选项目的编辑权限，项目A中存在任务：任务1
2、成员A有项目A、项目B、项目C的查看权限
3、成员B是超级管理员
4、成员A进入任务1详情页，点开多选项目输入框
5、此时成员B进入项目B中移除成员A查看项目B的权限",#成员A选择项目B后失焦,#toast：工作项的多选项目不合法，没有权限，请重新提交。
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「浮点数」,P2,"1、成员A有项目A中任务的浮点数类型属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A输入：20.2  后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「整数」,P2,"1、成员A有项目A中任务的整数类型属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A输入：20 后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「日期」,P2,"1、成员A有项目A中任务的日期属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择「2023-03-22」
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「时间」,P2,"1、成员A有项目A中任务的时间属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择「2023-03-20 16:58:30」后点击确定
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「多选项目」,P2,"1、成员A有项目A中任务的多选项目属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、成员A有项目A、项目B、项目C的查看权限
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择项目B后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「单选迭代」,P2,"1、成员A有项目A中任务的单选迭代属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、项目A存在迭代：迭代1、迭代2、迭代3
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择「迭代1」后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「多行文本」,P2,"1、成员A有项目A中任务的多行文本属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A输入test后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「单行文本」,P2,"1、成员A有项目A中任务的单行文本属性：「属性1」的编辑权限，项目A中存在任务：任务1
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的输入框
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A输入test后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「多选成员」,P2,"1、成员A有项目A中任务的多选成员属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：成员A、成员B、成员C
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择成员B、成员C后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
